osu file format v14

[General]
AudioFilename: audio.mp3
AudioLeadIn: 0
PreviewTime: -1
Countdown: 0
SampleSet: Soft
StackLeniency: 0.7
Mode: 0
LetterboxInBreaks: 0
WidescreenStoryboard: 0

[Editor]
DistanceSpacing: 1
BeatDivisor: 16
GridSize: 4
TimelineZoom: 1

[Metadata]
Title:asdf
TitleUnicode:asdf
Artist:asdf
ArtistUnicode:asdf
Creator:keum
Version:Easy
Source:asdf
Tags:asdf
BeatmapID:0
BeatmapSetID:-1

[Difficulty]
HPDrainRate:5
CircleSize:5
OverallDifficulty:5
ApproachRate:5
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples

[TimingPoints]
0,500,4,2,0,100,1,0


[HitObjects]
50,79,16875,1,0,0:0:0:0:,1
198,263,17750,1,0,0:0:0:0:,1

178,56,18500,1,0,0:0:0:0:,2
299,187,19125,1,0,0:0:0:0:,2

460,68,19875,1,0,0:0:0:0:,1
371,232,20500,1,0,0:0:0:0:,1

241,60,21250,1,0,0:0:0:0:,2
273,272,22000,1,0,0:0:0:0:,2

85,145,22875,1,0,0:0:0:0:,1
111,322,23500,1,0,0:0:0:0:,1

240,178,24250,1,0,0:0:0:0:,3
365,299,24875,1,0,0:0:0:0:,3

345,127,25500,1,0,0:0:0:0:,2
185,227,26125,1,0,0:0:0:0:,2

162,63,26750,1,0,0:0:0:0:,1
266,158,27250,1,0,0:0:0:0:,1

243,333,27875,1,0,0:0:0:0:,4
172,217,28375,1,0,0:0:0:0:,4

303,147,29000,1,0,0:0:0:0:,5
358,227,29375,1,0,0:0:0:0:,5

336,280,29625,1,0,0:0:0:0:,1
215,276,30125,1,0,0:0:0:0:,1

168,182,30500,1,0,0:0:0:0:,2
283,137,31000,1,0,0:0:0:0:,2

363,179,31375,1,0,0:0:0:0:,3
334,260,31750,1,0,0:0:0:0:,3

250,281,32125,1,0,0:0:0:0:,4
179,216,32500,1,0,0:0:0:0:,4

204,109,32875,1,0,0:0:0:0:,5
332,108,33375,1,0,0:0:0:0:,5

372,207,33750,1,0,0:0:0:0:,6
275,254,34125,1,0,0:0:0:0:,6

171,218,34500,1,0,0:0:0:0:,5
176,103,34875,1,0,0:0:0:0:,5

284,95,35250,1,0,0:0:0:0:,4
368,152,35625,1,0,0:0:0:0:,4

332,263,36000,1,0,0:0:0:0:,3
235,228,36500,1,0,0:0:0:0:,3

171,193,37000,1,0,0:0:0:0:,2
304,87,37500,1,0,0:0:0:0:,2

120,235,38500,1,0,0:0:0:0:,1
263,119,39000,1,0,0:0:0:0:,1

87,269,40000,1,0,0:0:0:0:,5
249,131,41000,1,0,0:0:0:0:,5

341,329,42000,1,0,0:0:0:0:,4
268,169,42500,1,0,0:0:0:0:,4

343,334,43000,1,0,0:0:0:0:,2
256,144,44000,1,0,0:0:0:0:,2

308,256,44500,1,0,0:0:0:0:,3
235,98,45000,1,0,0:0:0:0:,3

324,290,46000,1,0,0:0:0:0:,2
262,158,46500,1,0,0:0:0:0:,2

276,137,49000,1,0,0:0:0:0:,5
121,221,51031,1,0,0:0:0:0:,5

364,219,51906,1,0,0:0:0:0:,4
115,222,52812,1,0,0:0:0:0:,4

389,213,55062,1,0,0:0:0:0:,2
183,143,57093,1,0,0:0:0:0:,2

182,208,58625,1,0,0:0:0:0:,5
307,123,60375,1,0,0:0:0:0:,5

209,253,62031,1,0,0:0:0:0:,4
224,228,63406,1,0,0:0:0:0:,4

258,241,65250,1,0,0:0:0:0:,1
337,203,66406,1,0,0:0:0:0:,1

11,18,67750,1,0,0:0:0:0:,2
305,358,69375,1,0,0:0:0:0:,2
